2026-08-07 07:27:24,991 | INFO     | arbitr8der_package.vessel.vessel_state_machine | Loaded previous state: full_stop (forcing Full_Stop)
2026-08-07 07:27:25,017 | WARNING  | arbitr8der_package.vessel.vessel_state_machine | Vessel forced to Full_Stop: startup: forced full stop
2026-08-07 07:27:25,138 | INFO     | arbitr8der_package.execution.paper_venue_adapter | Paper venue adapter initialized, balance=$17.00
2026-08-07 07:27:25,162 | INFO     | arbitr8der_package.config.stream_provider_runtime_lease_file_lock | Lease acquired by ingestion-d13e5755 (expires in 300s)
2026-08-07 07:27:25,183 | INFO     | arbitr8der_package.data_sources.ingestion_orchestrator | Ingestion orchestrator starting (owner=ingestion-d13e5755)
2026-08-07 07:27:25,259 | INFO     | arbitr8der_package.execution.paper_venue_adapter | Paper venue adapter initialized, balance=$17.00
2026-08-07 07:27:26,733 | INFO     | arbitr8der_package.data_sources.coingecko_macro_data_poller | Starting CoinGecko poller for ['BTC', 'ETH'] (every 60s)
2026-08-07 07:27:26,787 | INFO     | arbitr8der_package.data_sources.candle_collection_battery | Starting candle collection battery
2026-08-07 07:27:26,836 | INFO     | arbitr8der_package.data_sources.candle_collection_battery | Backfilling Binance BTCUSDT 1m candles
2026-08-07 07:27:26,840 | INFO     | arbitr8der_package.prediction.settlement_watcher | Settlement watcher started (interval=60s)
2026-08-07 07:27:25,433 | INFO     | arbitr8der_package.prediction.auto_scoring_engine | Recorded 133 outcomes from candles for BTC
2026-08-07 07:27:26,810 | INFO     | arbitr8der_package.prediction.auto_scoring_engine | Recorded 133 outcomes from candles for ETH
2026-08-07 07:27:26,835 | INFO     | arbitr8der_package.data_sources.ingestion_orchestrator | Triggering periodic background model retraining...
2026-08-07 07:27:26,850 | INFO     | arbitr8der_package.prediction.macro_prediction_model | FrequencyLookup trained on 77 samples, 20 unique groups
Executing script: runtime/paper_batch_run_0729.txt (14 lines)
[script line 2] snapshot
No snapshot data yet. Data sources may still be connecting.
[script line 3] predict BTC --model auto
No snapshot data yet — wait for data sources to populate
[script line 4] predict ETH --model auto
No snapshot data yet — wait for data sources to populate
[script line 5] opportunities
Unknown command: opportunities. Type 'help' for available commands.
[script line 6] autotrade on
Auto-trading engine not running. Start with 'forward start'.
[script] sleeping 780.0s...
2026-08-07 07:27:34,399 | INFO     | arbitr8der_package.prediction.macro_prediction_model | LightGBM trained on 77 samples, val accuracy: 81.2%
2026-08-07 07:27:34,404 | INFO     | arbitr8der_package.prediction.micro_prediction_model | MomentumLookup trained on 77 samples, 1 unique groups
2026-08-07 07:27:34,415 | INFO     | arbitr8der_package.prediction.micro_prediction_model | LogisticRegression trained on 77 samples, train accuracy: 88.3%
2026-08-07 07:27:34,419 | INFO     | arbitr8der_package.prediction.auto_scoring_engine | Retrained BTC models on 77 samples — freq_groups=20, lgbm_trained=True
2026-08-07 07:27:34,422 | INFO     | arbitr8der_package.prediction.macro_prediction_model | FrequencyLookup trained on 82 samples, 18 unique groups
2026-08-07 07:27:34,425 | ERROR    | arbitr8der_package.data_sources.ingestion_orchestrator | Scoring engine error: float() argument must be a string or a real number, not 'NoneType'
