2026-08-07 08:14:05,942 | INFO     | arbitr8der_package.vessel.vessel_state_machine | Loaded previous state: full_forward (forcing Full_Stop)
2026-08-07 08:14:05,969 | WARNING  | arbitr8der_package.vessel.vessel_state_machine | Vessel forced to Full_Stop: startup: forced full stop
2026-08-07 08:14:06,083 | INFO     | arbitr8der_package.execution.paper_venue_adapter | Paper venue adapter initialized, balance=$17.00
2026-08-07 08:14:06,109 | INFO     | arbitr8der_package.config.stream_provider_runtime_lease_file_lock | Lease acquired by ingestion-6012c51b (expires in 300s)
2026-08-07 08:14:06,129 | INFO     | arbitr8der_package.data_sources.ingestion_orchestrator | Ingestion orchestrator starting (owner=ingestion-6012c51b)
2026-08-07 08:14:06,191 | INFO     | arbitr8der_package.execution.paper_venue_adapter | Paper venue adapter initialized, balance=$17.00
2026-08-07 08:14:07,712 | INFO     | arbitr8der_package.data_sources.coingecko_macro_data_poller | Starting CoinGecko poller for ['BTC', 'ETH'] (every 60s)
2026-08-07 08:14:07,773 | INFO     | arbitr8der_package.data_sources.candle_collection_battery | Starting candle collection battery
2026-08-07 08:14:07,823 | INFO     | arbitr8der_package.data_sources.candle_collection_battery | Backfilling Binance BTCUSDT 1m candles
2026-08-07 08:14:07,827 | INFO     | arbitr8der_package.prediction.settlement_watcher | Settlement watcher started (interval=60s)
2026-08-07 08:14:08,907 | INFO     | arbitr8der_package.prediction.auto_scoring_engine | Recorded 134 outcomes from candles for BTC
2026-08-07 08:14:09,847 | INFO     | arbitr8der_package.prediction.auto_scoring_engine | Recorded 133 outcomes from candles for ETH
2026-08-07 08:14:09,870 | INFO     | arbitr8der_package.data_sources.ingestion_orchestrator | Triggering periodic background model retraining...
2026-08-07 08:14:09,884 | INFO     | arbitr8der_package.prediction.macro_prediction_model | FrequencyLookup trained on 79 samples, 22 unique groups
Executing script: runtime/paper_batch_run_0815.txt (18 lines)
[script line 3] vessel battery
2026-08-07 08:14:13,708 | INFO     | arbitr8der_package.vessel.vessel_state_machine | Vessel transition: full_stop -> battery (reason: operator: battery command)
Vessel -> Battery
[script line 4] vessel forward
2026-08-07 08:14:13,744 | INFO     | arbitr8der_package.vessel.vessel_state_machine | Vessel transition: battery -> full_forward (reason: operator: forward command)
Vessel -> Full_Forward
[script] sleeping 40.0s...
2026-08-07 08:14:15,063 | INFO     | arbitr8der_package.prediction.macro_prediction_model | LightGBM trained on 79 samples, val accuracy: 81.2%
2026-08-07 08:14:15,066 | INFO     | arbitr8der_package.prediction.micro_prediction_model | MomentumLookup trained on 79 samples, 1 unique groups
2026-08-07 08:14:15,078 | INFO     | arbitr8der_package.prediction.micro_prediction_model | LogisticRegression trained on 79 samples, train accuracy: 87.3%
2026-08-07 08:14:15,081 | INFO     | arbitr8der_package.prediction.auto_scoring_engine | Retrained BTC models on 79 samples — freq_groups=22, lgbm_trained=True
2026-08-07 08:14:15,085 | INFO     | arbitr8der_package.prediction.macro_prediction_model | FrequencyLookup trained on 83 samples, 18 unique groups
2026-08-07 08:14:15,095 | ERROR    | arbitr8der_package.data_sources.ingestion_orchestrator | Scoring engine error: float() argument must be a string or a real number, not 'NoneType'
2026-08-07 08:14:15,248 | INFO     | httpx | HTTP Request: GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1m&endTime=1786115647902&limit=1000 "HTTP/1.1 451 "
2026-08-07 08:14:15,277 | WARNING  | arbitr8der_package.data_sources.binance_spot_price_stream | Binance WebSocket disconnected:  — reconnecting in 2.0s (failures=1)
